ID,Start Date,End Date,Gender,Zip,Age,Race
1,6/17/2012,6/23/2019,Female,19811,17,Multi-race
1,8/30/2013,,Female,19504,15,Hispanic
1,10/8/2016,1/11/2018,Female,19057,12,Hispanic
1,12/12/2017,4/13/2018,Male,19195,13,Multi-race
1,1/11/2019,,Female,19739,9,Asian
1,6/22/2015,10/26/2018,Male,19772,14,Asian
1,5/11/2017,,Male,19495,16,Some Other Race
1,10/3/2016,3/10/2018,Male,19246,11,Black
1,10/1/2014,,Male,19969,12,Hispanic
1,10/16/2014,,Male,19015,16,Hispanic
1,1/9/2016,3/24/2018,Male,19281,16,Some Other Race
1,8/1/2007,8/3/2018,Female,19211,22,Some Other Race
1,12/28/2011,2/22/2019,Male,19213,22,Some Other Race
1,9/25/2013,12/10/2018,Female,19886,18,Hispanic
1,9/11/2016,,Female,19236,13,Asian
1,7/1/2014,7/28/2019,Female,19645,22,Asian
1,5/21/2014,7/21/2019,Male,19020,15,Asian
1,6/5/2015,,Female,19557,12,Hispanic
1,9/19/2017,,Male,19601,19,Some Other Race
1,8/27/2018,,Female,19034,20,Hispanic
1,10/7/2017,8/27/2018,Female,19843,17,White
1,11/14/2014,3/4/2019,Male,19337,12,Hispanic
1,11/28/2016,,Male,19154,17,Black
1,9/24/2016,,Male,19242,16,Some Other Race
1,2/19/2016,4/1/2018,Male,19208,17,White
1,1/28/2016,,Female,19425,15,Some Other Race
1,3/1/2018,1/6/2019,Male,19086,16,Multi-race
1,11/11/2017,3/1/2019,Female,19518,12,Some Other Race
1,6/2/2012,10/11/2019,Male,19358,18,Asian
1,11/5/2018,10/14/2019,Female,19195,13,Black
1,3/11/2012,3/31/2018,Male,19887,17,Some Other Race
1,11/15/2013,1/24/2019,Female,19524,20,Hispanic
1,7/12/2014,,Female,19813,20,Black
1,5/3/2017,9/28/2019,Female,19506,16,White
1,8/31/2014,1/12/2018,Female,19628,13,Some Other Race
1,10/22/2013,8/27/2018,Male,19728,20,White
1,11/18/2011,7/23/2018,Male,19192,14,Asian
1,8/13/2013,8/24/2019,Female,19404,18,White
1,11/19/2018,,Male,19098,12,Hispanic
1,1/3/2016,6/11/2018,Female,19985,12,Asian
1,11/7/2014,,Male,19342,16,Multi-race
1,6/3/2018,10/27/2018,Male,19578,8,Black
1,6/15/2016,,Male,19255,11,White
1,10/2/2014,6/6/2018,Male,19017,15,Multi-race
1,3/12/2013,10/17/2018,Female,19023,15,Asian
1,9/28/2016,5/30/2019,Male,19008,12,Asian
1,12/30/2015,,Female,19128,14,Some Other Race
1,10/26/2016,8/3/2018,Female,19598,17,Some Other Race
1,10/23/2016,6/20/2018,Male,19382,14,Black
1,10/20/2017,8/1/2018,Female,19588,17,Asian
1,5/17/2015,,Female,19051,14,White
1,12/31/2015,3/26/2019,Male,19106,17,Multi-race
1,11/11/2013,,Male,19306,16,Hispanic
1,8/17/2018,,Female,19664,11,Black
1,2/24/2018,,Female,19743,12,Black
1,12/4/2014,8/21/2018,Male,19369,16,White
1,3/9/2014,10/11/2018,Male,19689,17,White
1,8/25/2017,5/19/2019,Female,19234,11,Multi-race
1,11/20/2016,,Male,19861,17,White
1,9/4/2014,,Female,19535,14,Hispanic
1,7/23/2013,,Female,19402,15,Asian
1,7/22/2016,3/3/2018,Female,19044,16,Asian
1,3/9/2017,2/9/2018,Male,19195,19,White
1,8/31/2015,,Female,19394,12,Asian
1,11/6/2016,6/13/2018,Female,19353,11,Asian
1,10/1/2017,1/6/2019,Female,19489,11,Multi-race
